entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,00:09:51 GMT,0.207,1,1,0,0,4,1,4.988,6.7,33.42,zeroCrossTest,RW0-0072,20200915170950
2,00:09:51 GMT,0.425,1,1,0,0,1,1,5.02,8.0,40.16,zeroCrossTest,RW0-0072,20200915170950
3,00:09:51 GMT,0.643,1,1,0,0,1,1,5.016,9.2,46.147,zeroCrossTest,RW0-0072,20200915170950
4,00:09:51 GMT,0.861,1,1,0,0,1,1,5.024,5.3,26.627,zeroCrossTest,RW0-0072,20200915170950
5,00:09:51 GMT,1.08,1,1,0,0,1,1,5.012,8.3,41.6,zeroCrossTest,RW0-0072,20200915170950
6,00:09:52 GMT,1.298,1,1,0,0,1,1,5.02,10.0,50.2,zeroCrossTest,RW0-0072,20200915170950
7,00:09:52 GMT,1.517,1,1,0,0,1,1,5.024,5.2,26.125,zeroCrossTest,RW0-0072,20200915170950
8,00:09:52 GMT,1.735,1,1,0,0,1,1,5.016,9.0,45.144,zeroCrossTest,RW0-0072,20200915170950
9,00:09:52 GMT,1.953,1,1,0,0,1,1,5.024,5.0,25.12,zeroCrossTest,RW0-0072,20200915170950
10,00:09:52 GMT,2.172,1,1,0,0,1,1,5.012,8.3,41.6,zeroCrossTest,RW0-0072,20200915170950
11,00:09:53 GMT,2.39,1,1,0,0,1,1,5.024,6.2,31.149,zeroCrossTest,RW0-0072,20200915170950
12,00:09:53 GMT,2.608,1,1,0,0,1,1,5.016,7.3,36.617,zeroCrossTest,RW0-0072,20200915170950
13,00:09:53 GMT,2.827,1,1,0,0,1,1,5.016,9.1,45.646,zeroCrossTest,RW0-0072,20200915170950
14,00:09:53 GMT,3.045,1,1,0,0,1,1,5.02,6.1,30.622,zeroCrossTest,RW0-0072,20200915170950
15,00:09:54 GMT,3.263,1,1,0,0,1,1,5.008,10.0,50.08,zeroCrossTest,RW0-0072,20200915170950
16,00:09:54 GMT,3.482,1,1,0,0,1,1,5.024,5.0,25.12,zeroCrossTest,RW0-0072,20200915170950
17,00:09:54 GMT,3.7,1,1,0,0,1,1,5.016,8.8,44.141,zeroCrossTest,RW0-0072,20200915170950
18,00:09:54 GMT,3.918,1,1,0,0,1,1,5.024,5.2,26.125,zeroCrossTest,RW0-0072,20200915170950
19,00:09:54 GMT,4.137,1,1,0,0,1,1,5.012,8.6,43.103,zeroCrossTest,RW0-0072,20200915170950
20,00:09:55 GMT,4.355,1,1,0,0,1,1,5.024,5.5,27.632,zeroCrossTest,RW0-0072,20200915170950
21,00:09:55 GMT,4.573,1,1,0,0,1,1,5.016,9.0,45.144,zeroCrossTest,RW0-0072,20200915170950
22,00:09:55 GMT,4.791,1,1,0,0,1,1,5.024,7.3,36.675,zeroCrossTest,RW0-0072,20200915170950
23,00:09:55 GMT,5.01,1,1,0,0,1,1,5.02,7.4,37.148,zeroCrossTest,RW0-0072,20200915170950
24,00:09:56 GMT,5.233,1,1,0,0,1,1,5.032,5.0,25.16,zeroCrossTest,RW0-0072,20200915170950
25,00:09:56 GMT,5.452,1,1,0,0,1,1,5.016,7.8,39.125,zeroCrossTest,RW0-0072,20200915170950
26,00:09:56 GMT,5.67,1,1,0,0,1,1,5.012,10.5,52.626,zeroCrossTest,RW0-0072,20200915170950
27,00:09:56 GMT,5.889,1,1,0,0,1,1,5.028,5.1,25.643,zeroCrossTest,RW0-0072,20200915170950
28,00:09:56 GMT,6.107,1,1,0,0,1,1,5.02,7.5,37.65,zeroCrossTest,RW0-0072,20200915170950
29,00:09:57 GMT,6.325,1,1,0,0,1,1,5.02,9.7,48.694,zeroCrossTest,RW0-0072,20200915170950
30,00:09:57 GMT,6.544,1,1,0,0,1,1,5.028,6.5,32.682,zeroCrossTest,RW0-0072,20200915170950
31,00:09:57 GMT,6.762,1,1,0,0,1,1,5.016,6.9,34.61,zeroCrossTest,RW0-0072,20200915170950
32,00:09:57 GMT,6.981,1,1,0,0,1,1,5.012,9.9,49.619,zeroCrossTest,RW0-0072,20200915170950
33,00:09:58 GMT,7.199,1,1,0,0,1,1,5.032,5.0,25.16,zeroCrossTest,RW0-0072,20200915170950
34,00:09:58 GMT,7.418,1,1,0,0,1,1,5.02,7.2,36.144,zeroCrossTest,RW0-0072,20200915170950
35,00:09:58 GMT,7.636,1,1,0,0,1,1,5.012,9.7,48.616,zeroCrossTest,RW0-0072,20200915170950
36,00:09:58 GMT,7.854,1,1,0,0,1,1,5.024,4.9,24.618,zeroCrossTest,RW0-0072,20200915170950
37,00:09:58 GMT,8.073,1,1,0,0,1,1,5.016,8.3,41.633,zeroCrossTest,RW0-0072,20200915170950
38,00:09:59 GMT,8.291,1,1,0,0,1,1,5.02,10.0,50.2,zeroCrossTest,RW0-0072,20200915170950
39,00:09:59 GMT,8.51,1,1,0,0,1,1,5.024,5.2,26.125,zeroCrossTest,RW0-0072,20200915170950
40,00:09:59 GMT,8.728,1,1,0,0,1,1,5.012,7.6,38.091,zeroCrossTest,RW0-0072,20200915170950
41,00:09:59 GMT,8.947,1,1,0,0,1,1,5.008,10.2,51.082,zeroCrossTest,RW0-0072,20200915170950
42,00:09:59 GMT,9.165,1,1,0,0,1,1,5.02,9.0,45.18,zeroCrossTest,RW0-0072,20200915170950
43,00:10:00 GMT,9.384,1,1,0,0,1,1,5.028,4.4,22.123,zeroCrossTest,RW0-0072,20200915170950
44,00:10:00 GMT,9.603,1,1,0,0,1,1,5.016,6.0,30.096,zeroCrossTest,RW0-0072,20200915170950
45,00:10:00 GMT,9.821,1,1,0,0,1,1,5.012,8.5,42.602,zeroCrossTest,RW0-0072,20200915170950
46,00:10:00 GMT,10.04,1,1,0,0,1,1,5.016,9.8,49.157,zeroCrossTest,RW0-0072,20200915170950
47,00:10:01 GMT,10.315,1,1,0,10000,4,1,4.988,118.2,589.582,zeroCrossTest,RW0-0072,20200915170950
48,00:10:01 GMT,10.534,1,1,562,10000,4,1,4.948,368.5,1823.338,zeroCrossTest,RW0-0072,20200915170950
49,00:10:01 GMT,10.752,1,1,2839,10000,4,1,4.924,440.5,2169.022,zeroCrossTest,RW0-0072,20200915170950
50,00:10:01 GMT,10.971,1,1,5203,10000,4,1,4.896,529.0,2589.984,zeroCrossTest,RW0-0072,20200915170950
51,00:10:02 GMT,11.189,1,1,7238,10000,4,1,4.972,195.8,973.518,zeroCrossTest,RW0-0072,20200915170950
52,00:10:02 GMT,11.408,1,1,8972,10000,4,1,5.02,46.4,232.928,zeroCrossTest,RW0-0072,20200915170950
53,00:10:02 GMT,11.626,1,1,9432,10000,4,1,5.008,29.9,149.739,zeroCrossTest,RW0-0072,20200915170950
54,00:10:02 GMT,11.844,1,1,9602,10000,4,1,5.012,28.6,143.343,zeroCrossTest,RW0-0072,20200915170950
55,00:10:02 GMT,12.063,1,1,9643,10000,4,1,5.016,23.6,118.378,zeroCrossTest,RW0-0072,20200915170950
56,00:10:03 GMT,12.281,1,1,9666,10000,4,1,5.008,25.7,128.706,zeroCrossTest,RW0-0072,20200915170950
57,00:10:03 GMT,12.509,1,1,9675,10000,4,1,5.012,26.1,130.813,zeroCrossTest,RW0-0072,20200915170950
58,00:10:03 GMT,12.727,1,1,9686,10000,4,1,5.012,27.1,135.825,zeroCrossTest,RW0-0072,20200915170950
59,00:10:03 GMT,12.946,1,1,9692,10000,4,1,5.02,22.2,111.444,zeroCrossTest,RW0-0072,20200915170950
60,00:10:03 GMT,13.164,1,1,9683,10000,4,1,5.008,25.6,128.205,zeroCrossTest,RW0-0072,20200915170950
61,00:10:04 GMT,13.382,1,1,9688,10000,4,1,5.016,27.5,137.94,zeroCrossTest,RW0-0072,20200915170950
62,00:10:04 GMT,13.601,1,1,9699,10000,4,1,5.02,23.8,119.476,zeroCrossTest,RW0-0072,20200915170950
63,00:10:04 GMT,13.819,1,1,9710,10000,4,1,5.008,25.6,128.205,zeroCrossTest,RW0-0072,20200915170950
64,00:10:04 GMT,14.037,1,1,9717,10000,4,1,5.016,24.8,124.397,zeroCrossTest,RW0-0072,20200915170950
65,00:10:05 GMT,14.256,1,1,9726,10000,4,1,5.008,25.7,128.706,zeroCrossTest,RW0-0072,20200915170950
66,00:10:05 GMT,14.474,1,1,9734,10000,4,1,5.012,28.7,143.844,zeroCrossTest,RW0-0072,20200915170950
67,00:10:05 GMT,14.693,1,1,9743,10000,4,1,5.024,23.8,119.571,zeroCrossTest,RW0-0072,20200915170950
68,00:10:05 GMT,14.911,1,1,9750,10000,4,1,5.012,26.0,130.312,zeroCrossTest,RW0-0072,20200915170950
69,00:10:05 GMT,15.129,1,1,9741,10000,4,1,5.012,26.7,133.82,zeroCrossTest,RW0-0072,20200915170950
70,00:10:06 GMT,15.348,1,1,9743,10000,4,1,5.012,23.8,119.286,zeroCrossTest,RW0-0072,20200915170950
71,00:10:06 GMT,15.566,1,1,9752,10000,4,1,5.012,27.6,138.331,zeroCrossTest,RW0-0072,20200915170950
72,00:10:06 GMT,15.785,1,1,9758,10000,4,1,5.016,24.7,123.895,zeroCrossTest,RW0-0072,20200915170950
73,00:10:06 GMT,16.003,1,1,9766,10000,4,1,5.016,24.1,120.886,zeroCrossTest,RW0-0072,20200915170950
74,00:10:07 GMT,16.222,1,1,9774,10000,4,1,5.008,27.9,139.723,zeroCrossTest,RW0-0072,20200915170950
75,00:10:07 GMT,16.44,1,1,9780,10000,4,1,5.02,25.2,126.504,zeroCrossTest,RW0-0072,20200915170950
76,00:10:07 GMT,16.658,1,1,9787,10000,4,1,5.016,24.4,122.39,zeroCrossTest,RW0-0072,20200915170950
77,00:10:07 GMT,16.877,1,1,9792,10000,4,1,5.008,26.8,134.214,zeroCrossTest,RW0-0072,20200915170950
78,00:10:07 GMT,17.095,1,1,9799,10000,4,1,5.024,24.5,123.088,zeroCrossTest,RW0-0072,20200915170950
79,00:10:08 GMT,17.314,1,1,9804,10000,3,1,5.004,26.2,131.105,zeroCrossTest,RW0-0072,20200915170950
80,00:10:08 GMT,17.532,1,1,9796,10000,3,1,5.012,26.4,132.317,zeroCrossTest,RW0-0072,20200915170950
81,00:10:08 GMT,17.75,1,1,9793,10000,3,1,5.016,22.5,112.86,zeroCrossTest,RW0-0072,20200915170950
82,00:10:08 GMT,17.969,1,1,9800,10000,3,1,5.012,25.8,129.31,zeroCrossTest,RW0-0072,20200915170950
83,00:10:09 GMT,18.187,1,1,9806,10000,3,1,5.016,24.8,124.397,zeroCrossTest,RW0-0072,20200915170950
84,00:10:09 GMT,18.406,1,1,9811,10000,3,1,5.008,27.3,136.718,zeroCrossTest,RW0-0072,20200915170950
85,00:10:09 GMT,18.624,1,1,9817,10000,3,1,5.008,28.3,141.726,zeroCrossTest,RW0-0072,20200915170950
86,00:10:09 GMT,18.843,1,1,9821,10000,3,1,5.02,24.3,121.986,zeroCrossTest,RW0-0072,20200915170950
87,00:10:09 GMT,19.061,1,1,9826,10000,3,1,5.012,25.8,129.31,zeroCrossTest,RW0-0072,20200915170950
88,00:10:10 GMT,19.279,1,1,9832,10000,3,1,5.008,26.7,133.714,zeroCrossTest,RW0-0072,20200915170950
89,00:10:10 GMT,19.498,1,1,9836,10000,3,1,5.016,25.2,126.403,zeroCrossTest,RW0-0072,20200915170950
90,00:10:10 GMT,19.716,1,1,9841,10000,3,1,5.012,26.2,131.314,zeroCrossTest,RW0-0072,20200915170950
91,00:10:10 GMT,19.935,1,1,9844,10000,3,1,5.012,26.7,133.82,zeroCrossTest,RW0-0072,20200915170950
92,00:10:10 GMT,20.153,1,1,9849,10000,3,1,5.02,24.6,123.492,zeroCrossTest,RW0-0072,20200915170950
93,00:10:11 GMT,20.372,1,1,9853,10000,3,1,5.012,27.2,136.326,zeroCrossTest,RW0-0072,20200915170950
94,00:10:11 GMT,20.59,1,1,9857,10000,3,1,5.008,27.9,139.723,zeroCrossTest,RW0-0072,20200915170950
95,00:10:11 GMT,20.808,1,1,9861,10000,3,1,5.024,23.2,116.557,zeroCrossTest,RW0-0072,20200915170950
96,00:10:11 GMT,21.027,1,1,9865,10000,3,1,5.016,26.7,133.927,zeroCrossTest,RW0-0072,20200915170950
97,00:10:12 GMT,21.245,1,1,9868,10000,3,1,5.012,29.0,145.348,zeroCrossTest,RW0-0072,20200915170950
98,00:10:12 GMT,21.464,1,1,9870,10000,3,1,5.012,23.4,117.281,zeroCrossTest,RW0-0072,20200915170950
99,00:10:12 GMT,21.682,1,1,9874,10000,3,1,5.008,25.3,126.702,zeroCrossTest,RW0-0072,20200915170950
100,00:10:12 GMT,21.901,1,1,9877,10000,3,1,5.02,24.4,122.488,zeroCrossTest,RW0-0072,20200915170950
101,00:10:12 GMT,22.119,1,1,9878,10000,3,1,5.016,24.1,120.886,zeroCrossTest,RW0-0072,20200915170950
102,00:10:13 GMT,22.337,1,1,9865,10000,3,1,5.008,27.7,138.722,zeroCrossTest,RW0-0072,20200915170950
103,00:10:13 GMT,22.556,1,1,9868,10000,3,1,5.016,24.3,121.889,zeroCrossTest,RW0-0072,20200915170950
104,00:10:13 GMT,22.774,1,1,9872,10000,3,1,5.016,26.7,133.927,zeroCrossTest,RW0-0072,20200915170950
105,00:10:13 GMT,22.993,1,1,9875,10000,3,1,5.012,28.5,142.842,zeroCrossTest,RW0-0072,20200915170950
106,00:10:14 GMT,23.211,1,1,9877,10000,3,1,5.024,22.4,112.538,zeroCrossTest,RW0-0072,20200915170950
107,00:10:14 GMT,23.429,1,1,9881,10000,3,1,5.008,25.3,126.702,zeroCrossTest,RW0-0072,20200915170950
108,00:10:14 GMT,23.648,1,1,9883,10000,3,1,5.012,26.5,132.818,zeroCrossTest,RW0-0072,20200915170950
109,00:10:14 GMT,23.866,1,1,9887,10000,3,1,5.016,24.8,124.397,zeroCrossTest,RW0-0072,20200915170950
110,00:10:14 GMT,24.085,1,1,9890,10000,3,1,5.012,27.2,136.326,zeroCrossTest,RW0-0072,20200915170950
111,00:10:15 GMT,24.303,1,1,9891,10000,3,1,5.012,23.6,118.283,zeroCrossTest,RW0-0072,20200915170950
112,00:10:15 GMT,24.522,1,1,9894,10000,3,1,5.016,24.1,120.886,zeroCrossTest,RW0-0072,20200915170950
113,00:10:15 GMT,24.74,1,1,9896,10000,3,1,5.008,27.1,135.717,zeroCrossTest,RW0-0072,20200915170950
114,00:10:15 GMT,24.958,1,1,9898,10000,3,1,5.02,25.9,130.018,zeroCrossTest,RW0-0072,20200915170950
115,00:10:15 GMT,25.177,1,1,9901,10000,3,1,5.016,23.8,119.381,zeroCrossTest,RW0-0072,20200915170950
116,00:10:16 GMT,25.395,1,1,9903,10000,3,1,5.008,24.7,123.698,zeroCrossTest,RW0-0072,20200915170950
117,00:10:16 GMT,25.614,1,1,9906,10000,3,1,5.016,25.1,125.902,zeroCrossTest,RW0-0072,20200915170950
118,00:10:16 GMT,25.832,1,1,9907,10000,3,1,5.008,25.7,128.706,zeroCrossTest,RW0-0072,20200915170950
119,00:10:16 GMT,26.05,1,1,9909,10000,3,1,5.012,26.7,133.82,zeroCrossTest,RW0-0072,20200915170950
120,00:10:17 GMT,26.269,1,1,9911,10000,3,1,5.02,23.4,117.468,zeroCrossTest,RW0-0072,20200915170950
121,00:10:17 GMT,26.487,1,1,9913,10000,3,1,5.008,28.0,140.224,zeroCrossTest,RW0-0072,20200915170950
122,00:10:17 GMT,26.705,1,1,9915,10000,3,1,5.012,24.4,122.293,zeroCrossTest,RW0-0072,20200915170950
123,00:10:17 GMT,26.924,1,1,9916,10000,3,1,5.012,25.4,127.305,zeroCrossTest,RW0-0072,20200915170950
124,00:10:17 GMT,27.142,1,1,9918,10000,3,1,5.012,27.7,138.832,zeroCrossTest,RW0-0072,20200915170950
125,00:10:18 GMT,27.361,1,1,9920,10000,3,1,5.024,22.3,112.035,zeroCrossTest,RW0-0072,20200915170950
126,00:10:18 GMT,27.579,1,1,9921,10000,3,1,5.012,26.1,130.813,zeroCrossTest,RW0-0072,20200915170950
127,00:10:18 GMT,27.798,1,1,9923,10000,3,1,5.008,27.2,136.218,zeroCrossTest,RW0-0072,20200915170950
128,00:10:18 GMT,28.016,1,1,9924,10000,3,1,5.02,22.7,113.954,zeroCrossTest,RW0-0072,20200915170950
129,00:10:19 GMT,28.234,1,1,9925,10000,3,1,5.012,25.6,128.307,zeroCrossTest,RW0-0072,20200915170950
130,00:10:19 GMT,28.453,1,1,9927,10000,3,1,5.016,25.7,128.911,zeroCrossTest,RW0-0072,20200915170950
131,00:10:19 GMT,28.671,1,1,9928,10000,3,1,5.012,24.2,121.29,zeroCrossTest,RW0-0072,20200915170950
132,00:10:19 GMT,28.89,1,1,9930,10000,3,1,5.008,27.2,136.218,zeroCrossTest,RW0-0072,20200915170950
133,00:10:19 GMT,29.108,1,1,9930,10000,3,1,5.024,25.0,125.6,zeroCrossTest,RW0-0072,20200915170950
134,00:10:20 GMT,29.326,1,1,9932,10000,3,1,5.016,25.0,125.4,zeroCrossTest,RW0-0072,20200915170950
135,00:10:20 GMT,29.545,1,1,9933,10000,3,1,5.008,27.6,138.221,zeroCrossTest,RW0-0072,20200915170950
136,00:10:20 GMT,29.763,1,1,9934,10000,3,1,5.02,23.0,115.46,zeroCrossTest,RW0-0072,20200915170950
137,00:10:20 GMT,29.982,1,1,9934,10000,3,1,5.012,26.5,132.818,zeroCrossTest,RW0-0072,20200915170950
138,00:10:21 GMT,30.2,1,1,9936,10000,3,1,5.012,26.9,134.823,zeroCrossTest,RW0-0072,20200915170950
139,00:10:21 GMT,30.419,1,1,9936,10000,3,1,5.02,22.4,112.448,zeroCrossTest,RW0-0072,20200915170950
140,00:10:21 GMT,30.637,1,1,9937,10000,3,1,5.012,26.3,131.816,zeroCrossTest,RW0-0072,20200915170950
141,00:10:21 GMT,30.855,1,1,9939,10000,3,1,5.012,24.3,121.792,zeroCrossTest,RW0-0072,20200915170950
142,00:10:21 GMT,31.074,1,1,9939,10000,3,1,5.012,25.8,129.31,zeroCrossTest,RW0-0072,20200915170950
143,00:10:22 GMT,31.292,1,1,9940,10000,3,1,5.012,25.8,129.31,zeroCrossTest,RW0-0072,20200915170950
144,00:10:22 GMT,31.511,1,1,9941,10000,3,1,5.016,25.6,128.41,zeroCrossTest,RW0-0072,20200915170950
145,00:10:22 GMT,31.729,1,1,9941,10000,3,1,5.016,24.8,124.397,zeroCrossTest,RW0-0072,20200915170950
146,00:10:22 GMT,31.947,1,1,9943,10000,3,1,5.0,26.7,133.5,zeroCrossTest,RW0-0072,20200915170950
147,00:10:22 GMT,32.166,1,1,9943,10000,3,1,5.028,23.8,119.666,zeroCrossTest,RW0-0072,20200915170950
148,00:10:23 GMT,32.384,1,1,9943,10000,3,1,5.016,23.8,119.381,zeroCrossTest,RW0-0072,20200915170950
149,00:10:23 GMT,32.603,1,1,9944,10000,3,1,5.012,27.2,136.326,zeroCrossTest,RW0-0072,20200915170950
150,00:10:23 GMT,32.822,1,1,9949,10000,3,1,5.02,25.4,127.508,zeroCrossTest,RW0-0072,20200915170950
151,00:10:23 GMT,33.041,1,1,9957,10000,3,1,5.02,24.7,123.994,zeroCrossTest,RW0-0072,20200915170950
152,00:10:24 GMT,33.259,1,1,9958,10000,3,1,5.012,25.6,128.307,zeroCrossTest,RW0-0072,20200915170950
