entry,timeGMT,timeELA_s,CRC,exec,currSpeed_01_RPM,refSpeed_01_RPM,state,clcMode,voltage_V,current_mA,power_mW,testName,rwID,startTime
1,23:19:59 GMT,0.407,1,1,0,5000,4,1,4.928,383.8,1891.366,rapidComTest,RW0-0072,20200915161958
2,23:19:59 GMT,0.642,1,1,1937,5000,4,1,4.996,129.3,645.983,rapidComTest,RW0-0072,20200915161958
3,23:19:59 GMT,0.88,1,1,3921,5000,4,1,5.008,41.0,205.328,rapidComTest,RW0-0072,20200915161958
4,23:19:59 GMT,1.118,1,1,4487,5000,4,1,5.016,25.6,128.41,rapidComTest,RW0-0072,20200915161958
5,23:19:59 GMT,1.357,1,1,4680,5000,4,1,5.02,22.2,111.444,rapidComTest,RW0-0072,20200915161958
6,23:20:00 GMT,1.595,1,1,4746,5000,4,1,5.008,24.2,121.194,rapidComTest,RW0-0072,20200915161958
7,23:20:00 GMT,1.834,1,1,4768,5000,4,1,5.02,21.8,109.436,rapidComTest,RW0-0072,20200915161958
8,23:20:00 GMT,2.072,1,1,4801,5000,3,1,5.008,24.9,124.699,rapidComTest,RW0-0072,20200915161958
9,23:20:00 GMT,2.31,1,1,4828,5000,3,1,5.012,24.0,120.288,rapidComTest,RW0-0072,20200915161958
10,23:20:01 GMT,2.549,1,1,4849,5000,3,1,5.016,24.8,124.397,rapidComTest,RW0-0072,20200915161958
